12-20 11:13:39.526  3517  3676 I TestRunner: started: testInvalidData(com.feri.redmedalertandroidapp.health.HealthDataTests)
12-20 11:13:39.537  2654  2790 I WM-WorkerWrapper: Worker result SUCCESS for Work [ id=cb7dab8a-d323-49be-a810-d3db41238fd6, tags={ com.google.android.apps.messaging.shared.rcs.availability.metrics.RcsAvailabilityLogWorker } ]
12-20 11:13:39.569   862   916 D LocalImageResolver: Couldn't use ImageDecoder for drawable, falling back to non-resized load.
12-20 11:13:39.603  1081  1081 I ImsResolver: Received BOOT_COMPLETED
12-20 11:13:39.605  1081  1505 D ImsResolver: maybeAddedImsService, packageName: null
12-20 11:13:39.633  3338  3496 D CompatibilityChangeReporter: Compat change id reported: 148180766; UID 10126; state: ENABLED
12-20 11:13:39.637  2592  2612 I PermissionControllerServiceImpl: Updating user sensitive for uid 10128
12-20 11:13:39.639   592   626 I GnssNetworkConnectivityHandler: updateNetworkState, state=CLOSED, connected=true, network=102, capabilities=[ Transports: CELLULAR Capabilities: MMS&SUPL&DUN&FOTA&IMS&CBS&INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN&VALIDATED&NOT_ROAMING&NOT_CONGESTED&NOT_SUSPENDED&NOT_VCN_MANAGED LinkUpBandwidth>=14Kbps LinkDnBandwidth>=14Kbps Specifier: <TelephonyNetworkSpecifier [mSubId = 1]> SubscriptionIds: {1} UnderlyingNetworks: Null], availableNetworkCount: 2
12-20 11:13:39.640  3338  3482 W .gms.persistent: Accessing hidden method Landroid/net/ConnectivityManager;->isNetworkTypeMobile(I)Z (max-target-p, reflection, denied)
12-20 11:13:39.640  3338  3482 W .gms.persistent: Accessing hidden method Landroid/os/PowerManager;->isLightDeviceIdleMode()Z (max-target-s, reflection, denied)
12-20 11:13:39.736  1081  1081 D CarrierConfigLoader: mHandler: EVENT_SYSTEM_UNLOCKED phoneId: 0
12-20 11:13:39.745  1081  1081 D CarrierConfigLoader: System unlocked
12-20 11:13:39.761  2654  3008 D StrictMode: StrictMode policy violation: android.os.strictmode.CustomViolation: gcore.dynamite
12-20 11:13:39.761  2654  3008 D StrictMode: 	at android.os.StrictMode$AndroidBlockGuardPolicy.onCustomSlowCall(StrictMode.java:1633)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at daqh.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zfb.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zfa.get(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at cpdm.get(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zfb.a(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zse.e(PG:70)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zse.b(PG:32)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at daqh.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at btcl.a(PG:11)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at ctbg.d(PG:2)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at ctbi.run(PG:9)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bxfd.run(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bxho.run(PG:3)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bxei.run(PG:2)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at java.lang.Thread.run(Thread.java:1012)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bxfj.run(PG:5)
12-20 11:13:39.785  2654  3008 D StrictMode: StrictMode policy violation: android.os.strictmode.DiskReadViolation
12-20 11:13:39.785  2654  3008 D StrictMode: 	at android.os.StrictMode$AndroidBlockGuardPolicy.onReadFromDisk(StrictMode.java:1666)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at java.io.UnixFileSystem.getBooleanAttributes(UnixFileSystem.java:282)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at java.io.File.isFile(File.java:876)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.DexPathList.makeDexElements(DexPathList.java:380)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.DexPathList.<init>(DexPathList.java:166)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.BaseDexClassLoader.<init>(BaseDexClassLoader.java:160)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.BaseDexClassLoader.<init>(BaseDexClassLoader.java:105)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.PathClassLoader.<init>(PathClassLoader.java:71)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.DelegateLastClassLoader.<init>(DelegateLastClassLoader.java:106)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at dalvik.system.DelegateLastClassLoader.<init>(DelegateLastClassLoader.java:56)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at com.google.android.gms.dynamite.DynamiteModule.b(PG:17)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bnzi.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at bnzj.a(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at com.google.android.gms.dynamite.DynamiteModule.d(PG:8)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at boxj.b(PG:12)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at com.google.android.gms.net.PlayServicesCronetProvider.tryToInstallCronetProvider(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at com.google.android.gms.net.PlayServicesCronetProvider.isEnabled(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at org.chromium.net.CronetEngine$Builder.getEnabledCronetProviders(PG:5)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at org.chromium.net.CronetEngine$Builder.createBuilderDelegate(PG:2)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at org.chromium.net.CronetEngine$Builder.<init>(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at org.chromium.net.ExperimentalCronetEngine$Builder.<init>(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zrs.c(PG:125)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zrs.b(PG:265)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at daqh.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zrz.c(Unknown Source:5390)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zrz.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at daqh.b(PG:1)
12-20 11:13:39.785  2654  3008 D StrictMode: 	at zfb.b(PG:1)
